"description","assist","player","result","periodTime","totalTime","xx","yy"
"3 punti segnato","Carl Wheatle","Payton Terrell Willis","made",110,1310,1245,784
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",150,1350,660,196
"3 punti segnato","Payton Terrell Willis","Charlie Edward Moore","made",210,1410,285,868
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",245,1445,750,140
"2 punti sbagliato","","Payton Terrell Willis","missed",281,1481,510,252
"2 punti sbagliato","","Ryan Hawkins","missed",305,1505,900,420
"2 punti segnato","","Charlie Edward Moore","made",338,1538,975,700
"2 punti sbagliato","","Charlie Edward Moore","missed",375,1575,675,196
"3 punti segnato","Charlie Edward Moore","Ryan Hawkins","made",408,1608,330,784
"3 punti sbagliato","","Charlie Edward Moore","missed",444,1644,420,812
"3 punti segnato","","Charlie Edward Moore","made",450,1650,1215,756
"3 punti segnato","","Payton Terrell Willis","made",480,1680,525,896
"3 punti sbagliato","","Carl Wheatle","missed",516,1716,1020,868
"3 punti sbagliato","","Payton Terrell Willis","missed",551,1751,540,1064
"2 punti sbagliato","","Angelo Del Chiaro","missed",578,1778,870,168
"3 punti segnato","Carl Wheatle","Charlie Edward Moore","made",599,1799,45,308
"3 punti segnato","Charlie Edward Moore","Carl Wheatle","made",46,1846,945,896
"2 punti sbagliato","","Angelo Del Chiaro","missed",77,1877,660,252
"2 punti segnato","","Carl Wheatle","made",126,1926,585,476
"2 punti sbagliato","","Angelo Del Chiaro","missed",174,1974,420,252
"3 punti sbagliato","","Charlie Edward Moore","missed",202,2002,450,952
"3 punti sbagliato","","Payton Terrell Willis","missed",241,2041,1080,924
"2 punti sbagliato","","Payton Terrell Willis","missed",299,2099,525,560
"3 punti sbagliato","","Charlie Edward Moore","missed",326,2126,270,728
"2 punti segnato","","Payton Terrell Willis","made",370,2170,825,224
"2 punti segnato","","Charlie Edward Moore","made",396,2196,825,196
"2 punti sbagliato","","Charlie Edward Moore","missed",424,2224,795,308
"2 punti sbagliato","","Charlie Edward Moore","missed",424,2224,795,308
"2 punti segnato","","Derek Ogbeide","made",424,2224,795,308
"3 punti segnato","","Charlie Edward Moore","made",476,2276,765,1036
"3 punti sbagliato","","Charlie Edward Moore","missed",505,2305,255,812
"3 punti sbagliato","","Carl Wheatle","missed",521,2321,1050,896
"2 punti sbagliato","","Payton Terrell Willis","missed",521,2321,1050,896
"3 punti sbagliato","","Payton Terrell Willis","missed",557,2357,360,924
"3 punti sbagliato","","Charlie Edward Moore","missed",31,31,390,812
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",57,57,675,168
"3 punti sbagliato","","Payton Terrell Willis","missed",91,91,90,364
"2 punti segnato","Charlie Edward Moore","Ryan Hawkins","made",136,136,855,112
"3 punti sbagliato","","Carl Wheatle","missed",212,212,75,168
"2 punti segnato","","Payton Terrell Willis","made",247,247,840,336
"3 punti sbagliato","","Ryan Hawkins","missed",283,283,1440,504
"2 punti segnato","Charlie Edward Moore","Ryan Hawkins","made",291,291,690,196
"3 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",331,331,60,224
"2 punti segnato","","Charlie Edward Moore","made",362,362,660,364
"3 punti sbagliato","","Ryan Hawkins","missed",400,400,45,84
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",412,412,750,224
"2 punti segnato","","Payton Terrell Willis","made",469,469,495,588
"2 punti segnato","Carl Wheatle","Ryan Hawkins","made",493,493,660,196
"3 punti sbagliato","","Payton Terrell Willis","missed",543,543,345,840
"3 punti sbagliato","","Charlie Edward Moore","missed",572,572,1035,868
"2 punti sbagliato","","Gianluca Della Rosa","missed",61,661,705,308
"2 punti segnato","Derek Ogbeide","Payton Terrell Willis","made",156,756,825,196
"3 punti segnato","Lorenzo Saccaggi","Charlie Edward Moore","made",191,791,1335,644
"2 punti segnato","Carl Wheatle","Derek Ogbeide","made",248,848,690,280
"3 punti sbagliato","","Charlie Edward Moore","missed",276,876,1350,616
"2 punti segnato","Lorenzo Saccaggi","Charlie Edward Moore","made",293,893,615,224
"3 punti sbagliato","","Carl Wheatle","missed",339,939,345,784
"3 punti segnato","Ryan Hawkins","Payton Terrell Willis","made",344,944,90,392
"3 punti sbagliato","","Charlie Edward Moore","missed",402,1002,1335,700
"3 punti sbagliato","","Ryan Hawkins","missed",444,1044,315,728
"2 punti sbagliato","","Charlie Edward Moore","missed",573,1173,975,252
"2 punti segnato","","Angelo Del Chiaro","made",573,1173,975,252
"3 punti sbagliato","","Ryan Hawkins","missed",37,1237,1395,560
"2 punti segnato","Ryan Hawkins","Derek Ogbeide","made",72,1272,570,252
"2 punti sbagliato","","Derek Ogbeide","missed",105,1305,825,252
"2 punti segnato","Ryan Hawkins","Derek Ogbeide","made",159,1359,705,224
"2 punti segnato","","Charlie Edward Moore","made",202,1402,810,364
"2 punti segnato","","Carl Wheatle","made",254,1454,540,420
"3 punti sbagliato","","Charlie Edward Moore","missed",293,1493,1320,672
"2 punti sbagliato","","Payton Terrell Willis","missed",352,1552,975,532
"3 punti sbagliato","","Charlie Edward Moore","missed",382,1582,315,756
"3 punti sbagliato","","Carl Wheatle","missed",428,1628,135,728
"2 punti sbagliato","","Charlie Edward Moore","missed",445,1645,840,280
"2 punti segnato","","Angelo Del Chiaro","made",445,1645,840,280
"2 punti sbagliato","","Payton Terrell Willis","missed",471,1671,300,168
"2 punti sbagliato","","Carl Wheatle","missed",561,1761,780,308
"2 punti sbagliato","","Angelo Del Chiaro","missed",578,1778,1110,168
"3 punti segnato","","Gianluca Della Rosa","made",600,1800,735,980
"3 punti segnato","","Payton Terrell Willis","made",17,1817,720,952
"3 punti segnato","Ryan Hawkins","Gianluca Della Rosa","made",38,1838,270,756
"3 punti sbagliato","","Payton Terrell Willis","missed",76,1876,735,896
"2 punti sbagliato","","Carl Wheatle","missed",76,1876,735,896
"3 punti sbagliato","","Payton Terrell Willis","missed",116,1916,1005,868
"3 punti segnato","Payton Terrell Willis","Gianluca Della Rosa","made",149,1949,1035,896
"2 punti segnato","Gianluca Della Rosa","Derek Ogbeide","made",180,1980,795,196
"2 punti segnato","","Payton Terrell Willis","made",226,2026,915,364
"3 punti segnato","Gianluca Della Rosa","Ryan Hawkins","made",273,2073,30,224
"3 punti sbagliato","","Carl Wheatle","missed",326,2126,195,672
"3 punti sbagliato","","Payton Terrell Willis","missed",365,2165,645,924
"2 punti segnato","","Derek Ogbeide","made",366,2166,720,252
"3 punti sbagliato","","Payton Terrell Willis","missed",394,2194,30,140
"2 punti segnato","Derek Ogbeide","Ryan Hawkins","made",417,2217,855,392
"3 punti sbagliato","","Gianluca Della Rosa","missed",472,2272,1125,840
"3 punti sbagliato","","Payton Terrell Willis","missed",517,2317,135,672
"3 punti segnato","","Charlie Edward Moore","made",554,2354,495,952
"3 punti segnato","Carl Wheatle","Charlie Edward Moore","made",24,24,1215,868
"2 punti segnato","","Derek Ogbeide","made",58,58,375,308
"3 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",79,79,1245,784
"2 punti sbagliato","","Derek Ogbeide","missed",114,114,525,196
"3 punti segnato","","Payton Terrell Willis","made",150,150,1260,700
"3 punti segnato","Derek Ogbeide","Payton Terrell Willis","made",192,192,225,700
"2 punti segnato","","Charlie Edward Moore","made",225,225,1125,168
"2 punti segnato","","Payton Terrell Willis","made",292,292,450,252
"2 punti segnato","","Charlie Edward Moore","made",333,333,885,168
"3 punti sbagliato","","Charlie Edward Moore","missed",353,353,735,1148
"2 punti segnato","","Payton Terrell Willis","made",382,382,870,560
"2 punti sbagliato","","Carl Wheatle","missed",418,418,945,280
"3 punti segnato","Payton Terrell Willis","Carl Wheatle","made",431,431,210,924
"2 punti segnato","","Carl Wheatle","made",478,478,750,280
"2 punti sbagliato","","Derek Ogbeide","missed",523,523,495,448
"2 punti sbagliato","","Payton Terrell Willis","missed",567,567,330,336
"2 punti sbagliato","","Payton Terrell Willis","missed",597,597,885,280
"3 punti sbagliato","","Gerry Blakes","missed",8,608,1305,728
"2 punti segnato","Payton Terrell Willis","Angelo Del Chiaro","made",52,652,630,672
"3 punti segnato","Carl Wheatle","Gianluca Della Rosa","made",81,681,120,812
"2 punti sbagliato","","Gerry Blakes","missed",148,748,960,308
"2 punti sbagliato","","Gerry Blakes","missed",197,797,630,476
"2 punti segnato","","Carl Wheatle","made",222,822,570,196
"2 punti segnato","","Derek Ogbeide","made",292,892,825,112
"2 punti sbagliato","","Charlie Edward Moore","missed",292,892,825,112
"2 punti sbagliato","","Charlie Edward Moore","missed",323,923,960,224
"3 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",334,934,690,1092
"3 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",366,966,60,392
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",448,1048,870,224
"3 punti segnato","","Payton Terrell Willis","made",504,1104,210,868
"2 punti segnato","Charlie Edward Moore","Angelo Del Chiaro","made",528,1128,585,224
"3 punti sbagliato","","Payton Terrell Willis","missed",565,1165,510,924
"2 punti sbagliato","","Angelo Del Chiaro","missed",592,1192,495,308
"3 punti sbagliato","","Carl Wheatle","missed",599,1199,390,1176
"2 punti sbagliato","","Charlie Edward Moore","missed",44,1244,630,616
"3 punti sbagliato","","Payton Terrell Willis","missed",77,1277,405,840
"3 punti sbagliato","","Lorenzo Saccaggi","missed",100,1300,45,252
"2 punti segnato","","Charlie Edward Moore","made",121,1321,840,224
"2 punti segnato","","Payton Terrell Willis","made",160,1360,675,112
"2 punti segnato","","Charlie Edward Moore","made",193,1393,810,224
"2 punti segnato","","Charlie Edward Moore","made",223,1423,900,140
"3 punti segnato","","Charlie Edward Moore","made",246,1446,945,924
"2 punti segnato","","Lorenzo Saccaggi","made",277,1477,900,196
"3 punti sbagliato","","Charlie Edward Moore","missed",332,1532,165,644
"3 punti sbagliato","","Carl Wheatle","missed",362,1562,225,728
"3 punti segnato","Gianluca Della Rosa","Payton Terrell Willis","made",387,1587,165,588
"2 punti segnato","","Gerry Blakes","made",387,1587,645,140
"2 punti sbagliato","","Gerry Blakes","missed",458,1658,585,560
"3 punti sbagliato","","Payton Terrell Willis","missed",531,1731,75,588
"2 punti segnato","","Carl Wheatle","made",551,1751,615,140
"2 punti sbagliato","","Charlie Edward Moore","missed",597,1797,570,252
"2 punti sbagliato","","Gerry Blakes","missed",34,1834,495,336
"3 punti segnato","Payton Terrell Willis","Gianluca Della Rosa","made",64,1864,390,840
"2 punti segnato","Gerry Blakes","Angelo Del Chiaro","made",92,1892,930,140
"3 punti sbagliato","","Gianluca Della Rosa","missed",127,1927,1155,1064
"3 punti sbagliato","","Gianluca Della Rosa","missed",152,1952,1410,504
"3 punti sbagliato","","Payton Terrell Willis","missed",169,1969,165,700
"3 punti sbagliato","","Carl Wheatle","missed",209,2009,195,728
"3 punti sbagliato","","Gerry Blakes","missed",216,2016,1320,644
"3 punti segnato","Gerry Blakes","Payton Terrell Willis","made",268,2068,75,336
"2 punti sbagliato","","Carl Wheatle","missed",356,2156,765,336
"2 punti segnato","","Gerry Blakes","made",364,2164,765,336
"2 punti sbagliato","","Payton Terrell Willis","missed",399,2199,825,392
"2 punti segnato","","Charlie Edward Moore","made",453,2253,915,224
"2 punti segnato","","Charlie Edward Moore","made",495,2295,1080,476
"2 punti segnato","","Gerry Blakes","made",530,2330,720,420
"2 punti sbagliato","","Payton Terrell Willis","missed",591,2391,750,280
"3 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",600,2400,675,980
"2 punti segnato","","Payton Terrell Willis","made",30,30,1155,560
"3 punti sbagliato","","Ryan Hawkins","missed",64,64,105,448
"2 punti sbagliato","","Charlie Edward Moore","missed",128,128,345,140
"2 punti sbagliato","","Derek Ogbeide","missed",170,170,735,140
"3 punti segnato","Carl Wheatle","Charlie Edward Moore","made",177,177,600,868
"3 punti segnato","","Payton Terrell Willis","made",215,215,1245,700
"2 punti segnato","","Charlie Edward Moore","made",247,247,570,336
"2 punti sbagliato","","Derek Ogbeide","missed",273,273,765,280
"3 punti sbagliato","","Carl Wheatle","missed",307,307,1470,196
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",349,349,765,140
"3 punti sbagliato","","Payton Terrell Willis","missed",402,402,780,924
"2 punti sbagliato","","Derek Ogbeide","missed",439,439,765,196
"3 punti segnato","Ryan Hawkins","Charlie Edward Moore","made",452,452,1470,112
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",484,484,690,196
"3 punti segnato","Derek Ogbeide","Charlie Edward Moore","made",517,517,375,784
"3 punti sbagliato","","Carl Wheatle","missed",599,599,1365,672
"2 punti sbagliato","","Gerry Blakes","missed",10,610,600,308
"2 punti sbagliato","","Angelo Del Chiaro","missed",105,705,915,196
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",191,791,690,168
"3 punti segnato","","Charlie Edward Moore","made",261,861,855,868
"3 punti sbagliato","","Payton Terrell Willis","missed",293,893,960,868
"3 punti segnato","Payton Terrell Willis","Gianluca Della Rosa","made",314,914,195,616
"2 punti segnato","Derek Ogbeide","Charlie Edward Moore","made",341,941,765,196
"3 punti sbagliato","","Gianluca Della Rosa","missed",448,1048,1365,532
"3 punti sbagliato","","Charlie Edward Moore","missed",511,1111,1455,168
"3 punti sbagliato","","Gianluca Della Rosa","missed",580,1180,405,756
"2 punti segnato","","Derek Ogbeide","made",38,1238,705,336
"2 punti sbagliato","","Derek Ogbeide","missed",80,1280,720,252
"3 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",111,1311,240,700
"2 punti sbagliato","","Charlie Edward Moore","missed",138,1338,765,196
"3 punti sbagliato","","Payton Terrell Willis","missed",219,1419,675,924
"2 punti sbagliato","","Charlie Edward Moore","missed",254,1454,900,168
"2 punti segnato","","Derek Ogbeide","made",254,1454,900,168
"3 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",283,1483,45,364
"2 punti sbagliato","","Charlie Edward Moore","missed",320,1520,1050,420
"2 punti sbagliato","","Carl Wheatle","missed",361,1561,615,420
"2 punti sbagliato","","Derek Ogbeide","missed",413,1613,750,140
"2 punti segnato","","Payton Terrell Willis","made",465,1665,945,616
"3 punti sbagliato","","Carl Wheatle","missed",501,1701,1230,700
"3 punti sbagliato","","Payton Terrell Willis","missed",551,1751,1065,784
"2 punti segnato","Gianluca Della Rosa","Derek Ogbeide","made",20,1820,735,168
"3 punti sbagliato","","Gianluca Della Rosa","missed",65,1865,1305,644
"3 punti sbagliato","","Gianluca Della Rosa","missed",103,1903,30,196
"2 punti segnato","","Gerry Blakes","made",139,1939,540,728
"2 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",168,1968,705,196
"3 punti sbagliato","","Ryan Hawkins","missed",225,2025,300,784
"2 punti segnato","Carl Wheatle","Payton Terrell Willis","made",252,2052,735,140
"2 punti segnato","","Payton Terrell Willis","made",283,2083,780,196
"3 punti segnato","","Gerry Blakes","made",318,2118,210,700
"2 punti segnato","","Gerry Blakes","made",356,2156,870,448
"3 punti sbagliato","","Ryan Hawkins","missed",403,2203,450,812
"3 punti sbagliato","","Ryan Hawkins","missed",463,2263,300,784
"3 punti sbagliato","","Gerry Blakes","missed",469,2269,1410,476
"2 punti sbagliato","","Charlie Edward Moore","missed",537,2337,660,224
"2 punti segnato","","Charlie Edward Moore","made",537,2337,660,224
"2 punti segnato","Payton Terrell Willis","Gerry Blakes","made",568,2368,870,168
"3 punti sbagliato","","Charlie Edward Moore","missed",600,2400,1230,728
"2 punti sbagliato","","Charlie Edward Moore","missed",76,76,315,280
"2 punti segnato","","Gerry Blakes","made",109,109,420,616
"3 punti sbagliato","","Ryan Hawkins","missed",144,144,705,868
"3 punti segnato","Derek Ogbeide","Payton Terrell Willis","made",195,195,330,728
"3 punti sbagliato","","Ryan Hawkins","missed",250,250,780,868
