"description","assist","player","result","periodTime","totalTime","xx","yy"
"3 punti segnato","","Payton Terrell Willis","made",116,716,225,728
"3 punti sbagliato","","Gerry Blakes","missed",186,786,45,196
"3 punti sbagliato","","Ryan Hawkins","missed",211,811,390,952
"2 punti segnato","","Charlie Edward Moore","made",260,860,720,112
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",292,892,705,112
"2 punti sbagliato","","Charlie Edward Moore","missed",363,963,300,280
"3 punti segnato","Charlie Edward Moore","Payton Terrell Willis","made",411,1011,1455,168
"3 punti segnato","","Charlie Edward Moore","made",446,1046,900,868
"2 punti sbagliato","","Derek Ogbeide","missed",523,1123,735,308
"2 punti segnato","","Charlie Edward Moore","made",562,1162,540,196
"2 punti sbagliato","","Charlie Edward Moore","missed",596,1196,795,532
"2 punti segnato","Derek Ogbeide","Ryan Hawkins","made",19,1219,795,168
"3 punti segnato","Charlie Edward Moore","Ryan Hawkins","made",65,1265,1125,924
"2 punti sbagliato","","Payton Terrell Willis","missed",97,1297,945,252
