,game_id,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
68,Milano Trento game 2,2 punti segnato,Shavon Shields,Nikola Mirotic,made,344,344,750,252,0
69,Milano Trento game 2,2 punti segnato,Shavon Shields,Devon Hall,made,368,368,825,168,0
70,Milano Trento game 2,2 punti sbagliato,,Devon Hall,missed,390,390,510,308,2
71,Milano Trento game 2,2 punti segnato,,Diego Flaccadori,made,456,456,1035,448,3
72,Milano Trento game 2,2 punti segnato,Shavon Shields,Devon Hall,made,475,475,825,168,0
73,Milano Trento game 2,3 punti segnato,Diego Flaccadori,Shavon Shields,made,513,513,60,336,5
74,Milano Trento game 2,3 punti segnato,Johannes Voigtmann,Shavon Shields,made,550,550,225,700,6
75,Milano Trento game 2,3 punti segnato,Shabazz Napier,Diego Flaccadori,made,561,561,375,784,6
76,Milano Trento game 2,2 punti segnato,,Shabazz Napier,made,597,597,765,252,0
77,Milano Trento game 2,2 punti sbagliato,,Kyle Hines,missed,16,616,870,224,0
78,Milano Trento game 2,3 punti segnato,,Devon Hall,made,26,626,1185,756,7
79,Milano Trento game 2,2 punti segnato,,Shabazz Napier,made,57,657,780,252,0
80,Milano Trento game 2,2 punti sbagliato,,Shabazz Napier,missed,83,683,930,644,3
81,Milano Trento game 2,2 punti segnato,,Devon Hall,made,110,710,1020,224,4
82,Milano Trento game 2,2 punti sbagliato,,Shabazz Napier,missed,128,728,555,392,2
83,Milano Trento game 2,2 punti segnato,Johannes Voigtmann,Nicolò Melli,made,145,745,630,224,0
84,Milano Trento game 2,2 punti segnato,Devon Hall,Johannes Voigtmann,made,160,760,825,196,0
85,Milano Trento game 2,2 punti segnato,,Shavon Shields,made,231,831,900,448,3
86,Milano Trento game 2,2 punti sbagliato,,Shavon Shields,missed,264,864,390,560,2
87,Milano Trento game 2,2 punti segnato,,Nicolò Melli,made,264,864,390,560,2
88,Milano Trento game 2,2 punti sbagliato,,Shavon Shields,missed,294,894,705,392,0
89,Milano Trento game 2,2 punti segnato,Nikola Mirotic,Shavon Shields,made,353,953,675,196,0
90,Milano Trento game 2,2 punti sbagliato,,Shavon Shields,missed,382,982,735,252,0
91,Milano Trento game 2,3 punti segnato,Stefano Tonut,Shavon Shields,made,419,1019,285,728,6
92,Milano Trento game 2,3 punti segnato,Johannes Voigtmann,Shavon Shields,made,444,1044,45,196,5
93,Milano Trento game 2,2 punti segnato,Nikola Mirotic,Shavon Shields,made,465,1065,780,196,0
94,Milano Trento game 2,2 punti segnato,,Shavon Shields,made,516,1116,810,224,0
95,Milano Trento game 2,3 punti sbagliato,,Nikola Mirotic,missed,555,1155,750,896,6
96,Milano Trento game 2,2 punti segnato,Shabazz Napier,Nicolò Melli,made,57,1257,750,140,0
97,Milano Trento game 2,2 punti segnato,,Shavon Shields,made,96,1296,930,504,3
98,Milano Trento game 2,3 punti segnato,Nikola Mirotic,Shavon Shields,made,166,1366,300,728,6
99,Milano Trento game 2,2 punti segnato,,Shavon Shields,made,189,1389,705,168,0
100,Milano Trento game 2,3 punti sbagliato,,Nicolò Melli,missed,215,1415,705,868,6
101,Milano Trento game 2,2 punti sbagliato,,Diego Flaccadori,missed,328,1528,450,532,2
102,Milano Trento game 2,2 punti sbagliato,,Diego Flaccadori,missed,342,1542,1050,504,3
103,Milano Trento game 2,2 punti segnato,,Devon Hall,made,375,1575,480,616,2
104,Milano Trento game 2,2 punti segnato,Johannes Voigtmann,Kyle Hines,made,392,1592,810,252,0
105,Milano Trento game 2,2 punti sbagliato,,Devon Hall,missed,402,1602,990,252,4
106,Milano Trento game 2,2 punti segnato,,Kyle Hines,made,402,1602,990,252,4
107,Milano Trento game 2,2 punti sbagliato,,Devon Hall,missed,435,1635,630,252,0
108,Milano Trento game 2,3 punti segnato,Johannes Voigtmann,Stefano Tonut,made,440,1640,315,756,6
109,Milano Trento game 2,3 punti sbagliato,,Devon Hall,missed,489,1689,345,840,6
110,Milano Trento game 2,2 punti sbagliato,,Diego Flaccadori,missed,506,1706,630,224,0
111,Milano Trento game 2,2 punti segnato,Shavon Shields,Kyle Hines,made,544,1744,855,168,0
112,Milano Trento game 2,3 punti sbagliato,,Shavon Shields,missed,575,1775,795,896,7
113,Milano Trento game 2,3 punti sbagliato,,Shavon Shields,missed,598,1798,510,896,6
114,Milano Trento game 2,2 punti sbagliato,,Nicolò Melli,missed,97,1897,540,672,2
115,Milano Trento game 2,3 punti segnato,Nicolò Melli,Nikola Mirotic,made,125,1925,225,700,6
116,Milano Trento game 2,3 punti segnato,Shabazz Napier,Nikola Mirotic,made,189,1989,750,924,6
117,Milano Trento game 2,3 punti segnato,Shabazz Napier,Giampaolo Ricci,made,276,2076,1305,588,7
118,Milano Trento game 2,2 punti sbagliato,,Shabazz Napier,missed,305,2105,780,420,3
119,Milano Trento game 2,2 punti sbagliato,,Nikola Mirotic,missed,348,2148,225,504,2
120,Milano Trento game 2,3 punti sbagliato,,Stefano Tonut,missed,440,2240,120,448,5
121,Milano Trento game 2,2 punti segnato,,Diego Flaccadori,made,446,2246,975,644,3
122,Milano Trento game 2,2 punti segnato,Diego Flaccadori,Kyle Hines,made,524,2324,825,140,0
123,Milano Trento game 3,2 punti sbagliato,,Shabazz Napier,missed,25,25,570,644,2
124,Milano Trento game 3,2 punti segnato,,Nikola Mirotic,made,71,71,1005,364,3
125,Milano Trento game 3,3 punti sbagliato,,Stefano Tonut,missed,108,108,1260,728,7
126,Milano Trento game 3,2 punti sbagliato,,Devon Hall,missed,169,169,870,364,0
