"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
"Milano Trento game 2","3 punti segnato","Diego Flaccadori","Shavon Shields","made",513,513,60,336
"Milano Trento game 2","3 punti segnato","Johannes Voigtmann","Shavon Shields","made",550,550,225,700
"Milano Trento game 2","3 punti segnato","Shabazz Napier","Diego Flaccadori","made",561,561,375,784
"Milano Trento game 2","2 punti segnato","","Shabazz Napier","made",597,597,765,252
"Milano Trento game 2","2 punti sbagliato","","Kyle Hines","missed",16,616,870,224
"Milano Trento game 2","3 punti segnato","","Devon Hall","made",26,626,1185,756
"Milano Trento game 2","2 punti segnato","","Shabazz Napier","made",57,657,780,252
"Milano Trento game 2","2 punti sbagliato","","Shabazz Napier","missed",83,683,930,644
"Milano Trento game 2","2 punti segnato","","Devon Hall","made",110,710,1020,224
"Milano Trento game 2","2 punti sbagliato","","Shabazz Napier","missed",128,728,555,392
"Milano Trento game 2","2 punti segnato","Johannes Voigtmann","Nicolò Melli","made",145,745,630,224
"Milano Trento game 2","2 punti segnato","Devon Hall","Johannes Voigtmann","made",160,760,825,196
"Milano Trento game 2","2 punti segnato","","Shavon Shields","made",231,831,900,448
"Milano Trento game 2","2 punti sbagliato","","Shavon Shields","missed",264,864,390,560
"Milano Trento game 2","2 punti segnato","","Nicolò Melli","made",264,864,390,560
"Milano Trento game 2","2 punti sbagliato","","Shavon Shields","missed",294,894,705,392
"Milano Trento game 2","2 punti segnato","Nikola Mirotic","Shavon Shields","made",353,953,675,196
"Milano Trento game 2","2 punti sbagliato","","Shavon Shields","missed",382,982,735,252
"Milano Trento game 2","3 punti segnato","Stefano Tonut","Shavon Shields","made",419,1019,285,728
"Milano Trento game 2","3 punti segnato","Johannes Voigtmann","Shavon Shields","made",444,1044,45,196
"Milano Trento game 2","2 punti segnato","Nikola Mirotic","Shavon Shields","made",465,1065,780,196
"Milano Trento game 2","2 punti segnato","","Shavon Shields","made",516,1116,810,224
"Milano Trento game 2","3 punti sbagliato","","Nikola Mirotic","missed",555,1155,750,896
"Milano Trento game 2","2 punti segnato","Shabazz Napier","Nicolò Melli","made",57,1257,750,140
"Milano Trento game 2","2 punti segnato","","Shavon Shields","made",96,1296,930,504
"Milano Trento game 2","3 punti segnato","Nikola Mirotic","Shavon Shields","made",166,1366,300,728
"Milano Trento game 2","2 punti segnato","","Shavon Shields","made",189,1389,705,168
"Milano Trento game 2","3 punti sbagliato","","Nicolò Melli","missed",215,1415,705,868
"Milano Trento game 2","2 punti sbagliato","","Diego Flaccadori","missed",328,1528,450,532
"Milano Trento game 2","2 punti sbagliato","","Diego Flaccadori","missed",342,1542,1050,504
"Milano Trento game 2","2 punti segnato","","Devon Hall","made",375,1575,480,616
"Milano Trento game 2","2 punti segnato","Johannes Voigtmann","Kyle Hines","made",392,1592,810,252
"Milano Trento game 2","2 punti sbagliato","","Devon Hall","missed",402,1602,990,252
"Milano Trento game 2","2 punti segnato","","Kyle Hines","made",402,1602,990,252
"Milano Trento game 2","2 punti sbagliato","","Devon Hall","missed",435,1635,630,252
"Milano Trento game 2","3 punti segnato","Johannes Voigtmann","Stefano Tonut","made",440,1640,315,756
"Milano Trento game 2","3 punti sbagliato","","Devon Hall","missed",489,1689,345,840
"Milano Trento game 2","2 punti sbagliato","","Diego Flaccadori","missed",506,1706,630,224
"Milano Trento game 2","2 punti segnato","Shavon Shields","Kyle Hines","made",544,1744,855,168
"Milano Trento game 2","3 punti sbagliato","","Shavon Shields","missed",575,1775,795,896
"Milano Trento game 2","3 punti sbagliato","","Shavon Shields","missed",598,1798,510,896
"Milano Trento game 2","2 punti sbagliato","","Nicolò Melli","missed",97,1897,540,672
"Milano Trento game 2","3 punti segnato","Nicolò Melli","Nikola Mirotic","made",125,1925,225,700
"Milano Trento game 2","3 punti segnato","Shabazz Napier","Nikola Mirotic","made",189,1989,750,924
"Milano Trento game 2","3 punti segnato","Shabazz Napier","Giampaolo Ricci","made",276,2076,1305,588
"Milano Trento game 2","2 punti sbagliato","","Shabazz Napier","missed",305,2105,780,420
"Milano Trento game 2","2 punti sbagliato","","Nikola Mirotic","missed",348,2148,225,504
"Milano Trento game 2","3 punti sbagliato","","Stefano Tonut","missed",440,2240,120,448
"Milano Trento game 2","2 punti segnato","","Diego Flaccadori","made",446,2246,975,644
"Milano Trento game 2","2 punti segnato","Diego Flaccadori","Kyle Hines","made",524,2324,825,140
"Milano Trento game 3","2 punti sbagliato","","Shabazz Napier","missed",25,25,570,644
"Milano Trento game 3","2 punti segnato","","Nikola Mirotic","made",71,71,1005,364
"Milano Trento game 3","3 punti sbagliato","","Stefano Tonut","missed",108,108,1260,728
"Milano Trento game 3","2 punti sbagliato","","Devon Hall","missed",169,169,870,364
"Milano Trento game 3","3 punti sbagliato","","Devon Hall","missed",208,208,90,504
"Milano Trento game 3","2 punti sbagliato","","Nicolò Melli","missed",208,208,90,504
"Milano Trento game 3","2 punti sbagliato","","Nikola Mirotic","missed",234,234,360,168
"Milano Trento game 3","3 punti sbagliato","","Shabazz Napier","missed",269,269,720,896
"Milano Trento game 3","3 punti sbagliato","","Devon Hall","missed",292,292,1365,532
"Milano Trento game 3","3 punti segnato","Shabazz Napier","Nikola Mirotic","made",308,308,75,364
"Milano Trento game 3","3 punti sbagliato","","Nikola Mirotic","missed",394,394,1140,812
"Milano Trento game 3","2 punti sbagliato","","Johannes Voigtmann","missed",434,434,1365,140
"Milano Trento game 3","2 punti segnato","","Kyle Hines","made",438,438,675,140
"Milano Trento game 3","2 punti sbagliato","","Devon Hall","missed",468,468,825,308
"Milano Trento game 3","2 punti segnato","Kyle Hines","Johannes Voigtmann","made",523,523,750,112
"Milano Trento game 3","2 punti segnato","Johannes Voigtmann","Kyle Hines","made",544,544,885,196
"Milano Trento game 3","2 punti segnato","","Stefano Tonut","made",583,583,675,140
"Milano Trento game 3","3 punti sbagliato","","Stefano Tonut","missed",599,599,1305,868
"Milano Trento game 3","3 punti sbagliato","","Stefano Tonut","missed",34,634,360,812
"Milano Trento game 3","2 punti sbagliato","","Stefano Tonut","missed",104,704,615,224
"Milano Trento game 3","2 punti segnato","Diego Flaccadori","Johannes Voigtmann","made",117,717,750,140
"Milano Trento game 3","3 punti sbagliato","","Johannes Voigtmann","missed",157,757,1380,560
"Milano Trento game 3","2 punti sbagliato","","Diego Flaccadori","missed",203,803,735,644
"Milano Trento game 3","2 punti segnato","","Kyle Hines","made",214,814,750,140
"Milano Trento game 3","2 punti segnato","","Devon Hall","made",237,837,855,560
"Milano Trento game 3","3 punti segnato","Nicolò Melli","Shabazz Napier","made",268,868,225,728
"Milano Trento game 3","2 punti sbagliato","","Shabazz Napier","missed",304,904,1020,560
"Milano Trento game 3","2 punti sbagliato","","Devon Hall","missed",339,939,885,280
"Milano Trento game 3","2 punti segnato","Devon Hall","Nicolò Melli","made",420,1020,1095,588
"Milano Trento game 3","2 punti segnato","","Devon Hall","made",452,1052,795,196
"Milano Trento game 3","3 punti segnato","","Shabazz Napier","made",480,1080,465,812
"Milano Trento game 3","2 punti segnato","","Shabazz Napier","made",505,1105,840,252
"Milano Trento game 3","3 punti segnato","","Shabazz Napier","made",545,1145,975,868
"Milano Trento game 3","2 punti segnato","","Devon Hall","made",578,1178,810,252
"Milano Trento game 3","2 punti sbagliato","","Devon Hall","missed",21,1221,360,252
"Milano Trento game 3","3 punti sbagliato","","Nikola Mirotic","missed",82,1282,405,840
"Milano Trento game 3","2 punti segnato","Shabazz Napier","Nicolò Melli","made",103,1303,795,196
"Milano Trento game 3","2 punti segnato","Shabazz Napier","Nikola Mirotic","made",128,1328,780,196
"Milano Trento game 3","3 punti segnato","Devon Hall","Shabazz Napier","made",155,1355,1200,784
"Milano Trento game 3","2 punti segnato","Shabazz Napier","Nikola Mirotic","made",185,1385,660,140
"Milano Trento game 3","2 punti segnato","","Shabazz Napier","made",234,1434,915,224
"Milano Trento game 3","2 punti sbagliato","","Shabazz Napier","missed",265,1465,1065,588
"Milano Trento game 3","2 punti segnato","Devon Hall","Nikola Mirotic","made",273,1473,825,224
