"description","assist","player","result","periodTime","totalTime","xx","yy"
"3 punti sbagliato","","Osvaldas Olisevicius","missed",253,853,1440,140
"3 punti sbagliato","","Alessandro Cappelletti","missed",266,866,945,924
"3 punti sbagliato","","D'Angelo Harrison","missed",274,874,1005,868
"3 punti sbagliato","","Alfonzo Mckinnie","missed",294,894,345,812
"3 punti sbagliato","","D'Angelo Harrison","missed",314,914,165,644
"2 punti segnato","Brandon Jefferson","Ousmane Diop","made",326,926,720,140
"2 punti segnato","Justin Robinson","Osvaldas Olisevicius","made",338,938,660,196
"3 punti sbagliato","","Brandon Jefferson","missed",373,973,1425,196
"2 punti sbagliato","","Ousmane Diop","missed",373,973,765,168
"2 punti segnato","","Ousmane Diop","made",373,973,705,168
"3 punti sbagliato","","Justin Robinson","missed",438,1038,150,560
"2 punti segnato","Brandon Jefferson","Stephane Gombauld","made",447,1047,780,196
"2 punti sbagliato","","Terry Allen","missed",482,1082,735,308
"3 punti segnato","Brandon Jefferson","Filip Kruslin","made",507,1107,30,196
"2 punti segnato","Osvaldas Olisevicius","Terry Allen","made",524,1124,585,532
"3 punti segnato","Brandon Jefferson","Breein Tyree","made",540,1140,870,896
"2 punti sbagliato","","Justin Robinson","missed",556,1156,855,476
"3 punti segnato","Justin Robinson","Osvaldas Olisevicius","made",567,1167,1455,168
"3 punti sbagliato","","Breein Tyree","missed",589,1189,120,560
"3 punti sbagliato","","Justin Robinson","missed",597,1197,1215,896
"3 punti segnato","","Justin Robinson","made",14,1214,195,672
"3 punti sbagliato","","Ky Bowman","missed",58,1258,1140,868
"2 punti sbagliato","","Stephane Gombauld","missed",71,1271,615,336
"2 punti segnato","","Stephane Gombauld","made",71,1271,735,252
"2 punti segnato","","Terry Allen","made",71,1271,1110,280
"3 punti segnato","Filip Kruslin","Breein Tyree","made",124,1324,735,924
"2 punti segnato","","Osvaldas Olisevicius","made",151,1351,1005,336
"3 punti segnato","Ky Bowman","Terry Allen","made",188,1388,1410,420
"2 punti sbagliato","","Breein Tyree","missed",205,1405,690,616
"2 punti sbagliato","","Osvaldas Olisevicius","missed",213,1413,795,224
"2 punti sbagliato","","Stephane Gombauld","missed",233,1433,750,140
"3 punti sbagliato","","Brandon Jefferson","missed",244,1444,1230,700
"2 punti segnato","","Justin Robinson","made",251,1451,645,504
"2 punti segnato","Vasilis Charalampopoulos","Stephane Gombauld","made",270,1470,825,364
"2 punti sbagliato","","Ky Bowman","missed",295,1495,675,308
"2 punti segnato","Ky Bowman","Pauly Paulicap","made",306,1506,705,196
"2 punti segnato","Breein Tyree","Stephane Gombauld","made",323,1523,750,140
"3 punti sbagliato","","Ky Bowman","missed",344,1544,1065,840
"3 punti segnato","Vasilis Charalampopoulos","Filip Kruslin","made",376,1576,60,112
"3 punti sbagliato","","Osvaldas Olisevicius","missed",389,1589,1275,700
"3 punti sbagliato","","Terry Allen","missed",420,1620,165,616
"2 punti segnato","Brandon Jefferson","Stephane Gombauld","made",439,1639,810,140
"3 punti sbagliato","","Justin Robinson","missed",459,1659,360,812
"2 punti segnato","","Osvaldas Olisevicius","made",463,1663,750,224
"3 punti sbagliato","","Brandon Jefferson","missed",475,1675,1410,756
"3 punti sbagliato","","Justin Robinson","missed",485,1685,1020,840
"2 punti sbagliato","","Brandon Jefferson","missed",497,1697,660,168
"2 punti sbagliato","","D'Angelo Harrison","missed",507,1707,645,448
"3 punti sbagliato","","Brandon Jefferson","missed",524,1724,1485,196
"2 punti sbagliato","","Ousmane Diop","missed",550,1750,795,252
"3 punti segnato","","D'Angelo Harrison","made",554,1754,1155,784
"2 punti sbagliato","","Ousmane Diop","missed",576,1776,795,196
"3 punti segnato","Alessandro Zanelli","Andrea Mezzanotte","made",590,1790,120,532
