"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
"Brescia Pistoia game 1","2 punti segnato","Semaj Christon","Kenny Gabriel","made",281,881,735,140
"Brescia Pistoia game 1","2 punti segnato","","Semaj Christon","made",352,952,525,476
"Brescia Pistoia game 1","2 punti sbagliato","","Jason Burnell","missed",378,978,555,252
"Brescia Pistoia game 1","2 punti segnato","","Miro Bilan","made",389,989,495,448
"Brescia Pistoia game 1","3 punti segnato","Semaj Christon","Jason Burnell","made",416,1016,1215,812
"Brescia Pistoia game 1","2 punti sbagliato","","Nicola Akele","missed",452,1052,885,336
"Brescia Pistoia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",472,1072,285,728
"Brescia Pistoia game 1","2 punti sbagliato","","Miro Bilan","missed",533,1133,795,168
"Brescia Pistoia game 1","3 punti segnato","Nicola Akele","C.J. Massinburg","made",553,1153,180,756
"Brescia Pistoia game 1","2 punti segnato","","Jason Burnell","made",598,1198,780,224
"Brescia Pistoia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",28,1228,540,952
"Brescia Pistoia game 1","2 punti sbagliato","","Semaj Christon","missed",62,1262,735,364
"Brescia Pistoia game 1","3 punti segnato","Amedeo Della Valle","Miro Bilan","made",85,1285,555,812
"Brescia Pistoia game 1","3 punti sbagliato","","Kenny Gabriel","missed",113,1313,270,812
"Brescia Pistoia game 1","2 punti segnato","Amedeo Della Valle","Miro Bilan","made",134,1334,750,168
"Brescia Pistoia game 1","2 punti sbagliato","","Kenny Gabriel","missed",185,1385,630,168
"Brescia Pistoia game 1","3 punti sbagliato","","Kenny Gabriel","missed",215,1415,1155,840
"Brescia Pistoia game 1","3 punti sbagliato","","Nicola Akele","missed",252,1452,1470,224
"Brescia Pistoia game 1","3 punti segnato","Nicola Akele","Amedeo Della Valle","made",275,1475,495,868
"Brescia Pistoia game 1","2 punti sbagliato","","Jason Burnell","missed",314,1514,570,280
"Brescia Pistoia game 1","2 punti segnato","","Miro Bilan","made",326,1526,765,448
"Brescia Pistoia game 1","2 punti sbagliato","","Amedeo Della Valle","missed",369,1569,1140,616
"Brescia Pistoia game 1","2 punti segnato","","Miro Bilan","made",369,1569,1140,616
"Brescia Pistoia game 1","2 punti sbagliato","","Jason Burnell","missed",408,1608,510,504
"Brescia Pistoia game 1","2 punti sbagliato","","Amedeo Della Valle","missed",419,1619,645,364
"Brescia Pistoia game 1","2 punti sbagliato","","C.J. Massinburg","missed",468,1668,885,644
