"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
24427,"2 punti segnato","Amedeo Tessitori","Marco Spissu","made",325,1525,675,140
24427,"2 punti segnato","Lorenzo Uglietti","Mouhamed Faye","made",348,1548,795,140
24427,"3 punti sbagliato","","Kyle Wiltjer","missed",370,1570,75,504
24427,"2 punti segnato","Max Heidegger","Amedeo Tessitori","made",395,1595,810,168
24427,"2 punti segnato","Jamar Smith","Mouhamed Faye","made",406,1606,750,140
24427,"2 punti segnato","Andrea De Nicolao","Aamir Simms","made",421,1621,885,196
24427,"2 punti sbagliato","","Jamar Smith","missed",478,1678,555,532
24427,"2 punti segnato","","Mouhamed Faye","made",494,1694,825,140
24427,"3 punti segnato","","Langston Galloway","made",532,1732,915,952
24427,"2 punti segnato","Rayjon Tucker","Amedeo Tessitori","made",583,1783,780,476
24427,"2 punti sbagliato","","Briante Weber","missed",21,1821,795,504
24427,"3 punti segnato","","Jamar Smith","made",45,1845,735,924
24427,"3 punti segnato","Andrea De Nicolao","Aamir Simms","made",59,1859,1455,364
24427,"2 punti sbagliato","","Langston Galloway","missed",111,1911,555,252
24427,"3 punti segnato","Jamar Smith","Darion Atkins","made",161,1961,510,924
24427,"2 punti segnato","Max Heidegger","Mfiondu Kabengele","made",181,1981,750,112
24427,"3 punti sbagliato","","Langston Galloway","missed",199,1999,1230,672
24427,"2 punti segnato","Michele Vitali","Tarik Black","made",227,2027,690,140
24427,"3 punti sbagliato","","Aamir Simms","missed",245,2045,195,644
24427,"2 punti sbagliato","","Darion Atkins","missed",268,2068,1125,168
24427,"2 punti sbagliato","","Tarik Black","missed",271,2071,675,252
24427,"3 punti sbagliato","","Aamir Simms","missed",280,2080,765,896
24427,"3 punti sbagliato","","Michele Vitali","missed",296,2096,1185,784
24427,"3 punti sbagliato","","Marco Spissu","missed",322,2122,1185,784
24427,"2 punti segnato","Michele Vitali","Tarik Black","made",340,2140,720,140
24427,"3 punti segnato","","Max Heidegger","made",356,2156,435,840
24427,"2 punti sbagliato","","Kyle Wiltjer","missed",387,2187,900,420
24427,"2 punti sbagliato","","Mouhamed Faye","missed",405,2205,675,364
24427,"3 punti segnato","Max Heidegger","Kyle Wiltjer","made",421,2221,1275,672
24427,"3 punti sbagliato","","Langston Galloway","missed",448,2248,360,840
24427,"3 punti sbagliato","","Max Heidegger","missed",466,2266,810,952
24427,"3 punti segnato","Max Heidegger","Kyle Wiltjer","made",494,2294,1470,168
24427,"2 punti sbagliato","","Briante Weber","missed",516,2316,525,504
24427,"2 punti segnato","Jordan Parks","Mfiondu Kabengele","made",534,2334,750,140
24427,"3 punti segnato","Langston Galloway","Jamar Smith","made",577,2377,255,756
24427,"3 punti sbagliato","","Mfiondu Kabengele","missed",591,2391,495,840
24427,"2 punti sbagliato","","Kyle Wiltjer","missed",599,2399,660,196
24427,"3 punti sbagliato","","Jordan Parks","missed",599,2399,1140,868
24428,"2 punti segnato","Daniel Hackett","Marco Belinelli","made",8,8,495,532
24428,"2 punti sbagliato","","Colbey Ross","missed",30,30,855,168
24428,"3 punti sbagliato","","Marco Belinelli","missed",36,36,330,812
24428,"3 punti segnato","Colbey Ross","Retin Obasohan","made",43,43,150,672
24428,"2 punti segnato","Daniel Hackett","Isaia Cordinier","made",56,56,705,616
24428,"3 punti sbagliato","","Arturs Strautins","missed",75,75,1155,868
24428,"2 punti sbagliato","","Jordan Mickey","missed",103,103,1155,308
24428,"2 punti sbagliato","","Daniel Hackett","missed",126,126,465,588
24428,"2 punti sbagliato","","Arturs Strautins","missed",133,133,825,308
24428,"2 punti segnato","","Isaia Cordinier","made",161,161,825,196
24428,"2 punti segnato","","Arturs Strautins","made",182,182,825,168
24428,"3 punti segnato","Bryant Dunston","Marco Belinelli","made",200,200,285,756
24428,"3 punti sbagliato","","Retin Obasohan","missed",223,223,795,980
24428,"2 punti segnato","","Kyle Weems","made",259,259,1140,448
24428,"2 punti segnato","","Daniel Hackett","made",281,281,870,196
24428,"2 punti sbagliato","","Arturs Strautins","missed",310,310,690,196
24428,"2 punti segnato","Colbey Ross","Kyle Weems","made",311,311,765,252
24428,"3 punti sbagliato","","Marco Belinelli","missed",321,321,1095,868
24428,"3 punti segnato","Daniel Hackett","Isaia Cordinier","made",349,349,45,168
24428,"3 punti sbagliato","","Kyle Weems","missed",364,364,495,952
24428,"3 punti sbagliato","","Alessandro Pajola","missed",379,379,1215,756
24428,"3 punti segnato","Retin Obasohan","Tommaso Baldasso","made",395,395,315,896
24428,"2 punti sbagliato","","Bryant Dunston","missed",416,416,615,140
24428,"2 punti sbagliato","","Achille Polonara","missed",416,416,615,140
24428,"3 punti sbagliato","","Achille Polonara","missed",416,416,NA,NA
24428,"2 punti sbagliato","","Kyle Weems","missed",448,448,645,336
24428,"3 punti sbagliato","","Leon Radosevic","missed",470,470,270,840
24428,"3 punti segnato","","Tommaso Baldasso","made",476,476,675,952
24428,"3 punti segnato","Gabriel Lundberg","Abass Awudu Abass","made",506,506,1335,756
24428,"3 punti segnato","Leon Radosevic","Chris Dowe","made",528,528,285,868
24428,"2 punti sbagliato","","Abass Awudu Abass","missed",540,540,330,140
24428,"3 punti segnato","Achille Polonara","Gabriel Lundberg","made",565,565,1140,840
24428,"2 punti sbagliato","","Achille Polonara","missed",600,600,495,560
