,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
1361,2 punti sbagliato,,Jordon Varnado,missed,262,2062,630.0,252.0,0
1362,2 punti segnato,Derek Ogbeide,Jordon Varnado,made,303,2103,735.0,196.0,0
1363,2 punti sbagliato,,Payton Terrell Willis,missed,352,2152,885.0,364.0,3
1364,2 punti sbagliato,,Derek Ogbeide,missed,390,2190,735.0,532.0,2
1365,2 punti sbagliato,,Payton Terrell Willis,missed,507,2307,735.0,308.0,0
1366,2 punti segnato,,Carl Wheatle,made,554,2354,810.0,252.0,0
1367,2 punti segnato,,Payton Terrell Willis,made,577,2377,735.0,140.0,0
1368,2 punti sbagliato,,Derek Ogbeide,missed,28,28,810.0,280.0,0
1369,3 punti sbagliato,,Jordon Varnado,missed,34,34,465.0,812.0,6
1370,2 punti sbagliato,,Derek Ogbeide,missed,75,75,720.0,168.0,0
1371,3 punti sbagliato,,Charlie Edward Moore,missed,111,111,150.0,700.0,6
1372,2 punti sbagliato,,Charlie Edward Moore,missed,155,155,360.0,448.0,2
1373,2 punti segnato,,Derek Ogbeide,made,155,155,360.0,448.0,2
1374,2 punti sbagliato,,Payton Terrell Willis,missed,178,178,525.0,392.0,2
1375,3 punti sbagliato,,Lorenzo Saccaggi,missed,203,203,1395.0,616.0,7
1376,3 punti segnato,Lorenzo Saccaggi,Payton Terrell Willis,made,238,238,1230.0,756.0,7
1377,3 punti sbagliato,,Payton Terrell Willis,missed,262,262,300.0,728.0,6
1378,3 punti segnato,,Jordon Varnado,made,294,294,90.0,448.0,5
1379,2 punti segnato,Charlie Edward Moore,Payton Terrell Willis,made,318,318,765.0,84.0,0
1380,3 punti sbagliato,,Carl Wheatle,missed,411,411,1455.0,140.0,8
1381,2 punti segnato,,Charlie Edward Moore,made,425,425,525.0,420.0,2
1382,2 punti segnato,Carl Wheatle,Ryan Hawkins,made,457,457,660.0,140.0,0
1383,2 punti sbagliato,,Derek Ogbeide,missed,495,495,585.0,308.0,0
1384,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,532,532,765.0,140.0,0
1385,2 punti segnato,Charlie Edward Moore,Angelo Del Chiaro,made,574,574,765.0,196.0,0
1386,2 punti sbagliato,,Jordon Varnado,missed,14,614,345.0,588.0,2
1387,3 punti sbagliato,,Carl Wheatle,missed,55,655,885.0,896.0,7
1388,3 punti sbagliato,,Gianluca Della Rosa,missed,153,753,1185.0,812.0,7
1389,2 punti segnato,Gianluca Della Rosa,Payton Terrell Willis,made,165,765,720.0,140.0,0
1390,2 punti sbagliato,,Gianluca Della Rosa,missed,195,795,690.0,560.0,2
1391,2 punti segnato,Payton Terrell Willis,Carl Wheatle,made,203,803,705.0,280.0,0
1392,3 punti sbagliato,,Gianluca Della Rosa,missed,241,841,165.0,672.0,6
1393,2 punti segnato,Ryan Hawkins,Derek Ogbeide,made,252,852,735.0,504.0,2
1394,2 punti segnato,Carl Wheatle,Derek Ogbeide,made,315,915,885.0,140.0,0
1395,3 punti sbagliato,,Ryan Hawkins,missed,367,967,30.0,140.0,5
1396,3 punti sbagliato,,Jordon Varnado,missed,415,1015,495.0,840.0,6
1397,3 punti sbagliato,,Payton Terrell Willis,missed,419,1019,150.0,588.0,6
1398,2 punti sbagliato,,Charlie Edward Moore,missed,472,1072,930.0,364.0,3
1399,2 punti sbagliato,,Payton Terrell Willis,missed,485,1085,810.0,448.0,3
1400,3 punti segnato,Ryan Hawkins,Charlie Edward Moore,made,571,1171,600.0,924.0,6
1401,2 punti segnato,,Charlie Edward Moore,made,34,1234,510.0,168.0,0
1402,3 punti segnato,,Jordon Varnado,made,65,1265,615.0,924.0,6
1403,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,141,1341,720.0,112.0,0
1404,3 punti sbagliato,,Charlie Edward Moore,missed,186,1386,120.0,616.0,6
1405,3 punti segnato,Lorenzo Saccaggi,Payton Terrell Willis,made,209,1409,375.0,812.0,6
1406,3 punti sbagliato,,Lorenzo Saccaggi,missed,252,1452,465.0,868.0,6
1407,3 punti segnato,Lorenzo Saccaggi,Charlie Edward Moore,made,279,1479,1200.0,784.0,7
1408,3 punti sbagliato,,Charlie Edward Moore,missed,320,1520,1050.0,840.0,7
1409,2 punti sbagliato,,Charlie Edward Moore,missed,344,1544,900.0,140.0,0
1410,3 punti sbagliato,,Ryan Hawkins,missed,398,1598,1455.0,140.0,8
1411,2 punti segnato,,Ryan Hawkins,made,454,1654,990.0,364.0,3
1412,2 punti segnato,Angelo Del Chiaro,Jordon Varnado,made,486,1686,615.0,56.0,0
1413,2 punti sbagliato,,Jordon Varnado,missed,575,1775,840.0,336.0,0
1414,3 punti segnato,Jordon Varnado,Carl Wheatle,made,20,1820,1035.0,812.0,7
1415,3 punti segnato,Carl Wheatle,Jordon Varnado,made,57,1857,735.0,924.0,6
1416,2 punti segnato,,Charlie Edward Moore,made,86,1886,435.0,280.0,1
1417,3 punti sbagliato,,Charlie Edward Moore,missed,143,1943,45.0,168.0,5
1418,3 punti segnato,Payton Terrell Willis,Carl Wheatle,made,186,1986,615.0,896.0,6
1419,3 punti segnato,,Payton Terrell Willis,made,254,2054,1170.0,812.0,7
1420,3 punti sbagliato,,Jordon Varnado,missed,323,2123,105.0,588.0,6
1421,3 punti sbagliato,,Jordon Varnado,missed,392,2192,1440.0,392.0,8
1422,2 punti segnato,Payton Terrell Willis,Jordon Varnado,made,420,2220,660.0,588.0,2
1423,2 punti sbagliato,,Charlie Edward Moore,missed,454,2254,855.0,560.0,3
1424,2 punti segnato,,Payton Terrell Willis,made,484,2284,735.0,476.0,2
1425,3 punti sbagliato,,Charlie Edward Moore,missed,556,2356,1005.0,840.0,7
1426,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,564,2364,795.0,224.0,0
1427,3 punti sbagliato,,Payton Terrell Willis,missed,600,2400,1230.0,840.0,7
1428,2 punti segnato,,Payton Terrell Willis,made,346,2446,465.0,448.0,2
1429,3 punti segnato,,Payton Terrell Willis,made,467,2567,375.0,840.0,6
