,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
527,3 punti sbagliato,,Nicolas Tanfoglio,missed,591,2391,900.0,868.0,7
528,2 punti segnato,Semaj Christon,Kenny Gabriel,made,19,19,165.0,112.0,1
529,2 punti segnato,,Semaj Christon,made,71,71,1005.0,168.0,4
530,3 punti sbagliato,,Kenny Gabriel,missed,97,97,1395.0,560.0,7
531,2 punti segnato,Amedeo Della Valle,Semaj Christon,made,146,146,525.0,168.0,0
532,2 punti sbagliato,,Miro Bilan,missed,195,195,1035.0,308.0,4
533,2 punti segnato,Amedeo Della Valle,Miro Bilan,made,229,229,900.0,224.0,0
534,2 punti segnato,Semaj Christon,John Petrucelli,made,283,283,555.0,196.0,0
535,3 punti segnato,Amedeo Della Valle,Kenny Gabriel,made,303,303,1470.0,336.0,8
536,2 punti sbagliato,,Miro Bilan,missed,335,335,825.0,308.0,0
537,2 punti segnato,,Miro Bilan,made,370,370,675.0,168.0,0
538,2 punti sbagliato,,John Petrucelli,missed,399,399,1020.0,448.0,3
539,2 punti sbagliato,,Miro Bilan,missed,430,430,705.0,196.0,0
540,2 punti segnato,Miro Bilan,Jason Burnell,made,462,462,705.0,224.0,0
541,2 punti sbagliato,,C.J. Massinburg,missed,502,502,885.0,420.0,3
542,3 punti sbagliato,,Kenny Gabriel,missed,506,506,420.0,812.0,6
543,2 punti segnato,,Jason Burnell,made,524,524,780.0,588.0,3
544,3 punti sbagliato,,Jason Burnell,missed,595,595,855.0,952.0,7
545,2 punti segnato,C.J. Massinburg,Nicola Akele,made,25,625,525.0,224.0,0
546,2 punti segnato,John Petrucelli,C.J. Massinburg,made,59,659,615.0,224.0,0
547,3 punti sbagliato,,David Reginald Cournooh,missed,97,697,945.0,896.0,7
548,2 punti segnato,C.J. Massinburg,Nicola Akele,made,135,735,1260.0,364.0,4
549,2 punti sbagliato,,C.J. Massinburg,missed,158,758,690.0,252.0,0
550,2 punti segnato,David Reginald Cournooh,Jason Burnell,made,161,761,1170.0,196.0,4
551,2 punti sbagliato,,David Reginald Cournooh,missed,213,813,1050.0,168.0,4
552,3 punti sbagliato,,John Petrucelli,missed,250,850,1410.0,532.0,8
553,2 punti segnato,,David Reginald Cournooh,made,261,861,765.0,252.0,0
554,3 punti sbagliato,,Semaj Christon,missed,296,896,1290.0,672.0,7
555,2 punti segnato,Miro Bilan,Jason Burnell,made,414,1014,1005.0,308.0,3
556,2 punti sbagliato,,Miro Bilan,missed,443,1043,990.0,252.0,4
557,3 punti sbagliato,,John Petrucelli,missed,445,1045,1425.0,532.0,8
558,2 punti sbagliato,,Semaj Christon,missed,509,1109,1125.0,532.0,3
559,2 punti sbagliato,,Nicola Akele,missed,579,1179,885.0,504.0,3
560,2 punti segnato,,C.J. Massinburg,made,586,1186,705.0,196.0,0
