"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","Michael Cobbins","John Petrucelli","made",564,1164,705,280
"2 punti segnato","Semaj Christon","Miro Bilan","made",17,1217,975,112
"2 punti segnato","Semaj Christon","John Petrucelli","made",60,1260,885,252
"2 punti segnato","","Semaj Christon","made",83,1283,660,364
"2 punti segnato","John Petrucelli","Nicola Akele","made",128,1328,660,168
"3 punti sbagliato","","Nicola Akele","missed",169,1369,1485,280
"3 punti segnato","John Petrucelli","Semaj Christon","made",235,1435,405,756
"2 punti segnato","Semaj Christon","Miro Bilan","made",260,1460,975,140
"2 punti segnato","","John Petrucelli","made",282,1482,945,168
"3 punti sbagliato","","John Petrucelli","missed",316,1516,1395,672
"2 punti segnato","","C.J. Massinburg","made",374,1574,1185,168
"3 punti sbagliato","","Kenny Gabriel","missed",405,1605,1365,700
"2 punti sbagliato","","John Petrucelli","missed",444,1644,990,308
"3 punti sbagliato","","John Petrucelli","missed",455,1655,1320,840
