"description","assist","player","result","periodTime","totalTime","xx","yy"
"3 punti segnato","","Amedeo Della Valle","made",407,1607,960,868
"3 punti segnato","Semaj Christon","John Petrucelli","made",473,1673,1380,560
"2 punti segnato","","Nicola Akele","made",528,1728,645,196
"2 punti segnato","","Nicola Akele","made",579,1779,810,224
"2 punti segnato","","C.J. Massinburg","made",598,1798,375,560
"2 punti sbagliato","","Nicola Akele","missed",16,1816,810,252
"2 punti sbagliato","","John Petrucelli","missed",54,1854,705,196
"3 punti sbagliato","","Nicola Akele","missed",72,1872,375,756
"3 punti sbagliato","","Nicola Akele","missed",84,1884,1455,224
"2 punti segnato","","C.J. Massinburg","made",103,1903,810,168
"3 punti sbagliato","","David Reginald Cournooh","missed",132,1932,1395,560
"2 punti segnato","","David Reginald Cournooh","made",170,1970,705,140
"3 punti segnato","C.J. Massinburg","David Reginald Cournooh","made",200,2000,1050,840
"3 punti segnato","John Petrucelli","C.J. Massinburg","made",259,2059,120,476
"3 punti sbagliato","","John Petrucelli","missed",282,2082,750,896
"3 punti sbagliato","","John Petrucelli","missed",293,2093,615,840
"2 punti segnato","C.J. Massinburg","Michael Cobbins","made",306,2106,765,168
"3 punti sbagliato","","David Reginald Cournooh","missed",359,2159,90,420
"3 punti segnato","David Reginald Cournooh","Jason Burnell","made",385,2185,525,840
"3 punti sbagliato","","C.J. Massinburg","missed",410,2210,45,112
"3 punti sbagliato","","C.J. Massinburg","missed",461,2261,945,868
"2 punti segnato","","Jason Burnell","made",488,2288,825,196
"2 punti segnato","","Semaj Christon","made",543,2343,765,392
"2 punti sbagliato","","Matteo Porto","missed",578,2378,1125,588
"2 punti segnato","","Semaj Christon","made",32,32,795,308
"2 punti segnato","Jason Burnell","Kenny Gabriel","made",67,67,855,196
"2 punti sbagliato","","Amedeo Della Valle","missed",109,109,645,112
"2 punti sbagliato","","Jason Burnell","missed",124,124,285,168
"2 punti segnato","","Semaj Christon","made",178,178,705,196
"3 punti sbagliato","","Kenny Gabriel","missed",201,201,60,280
"2 punti sbagliato","","Semaj Christon","missed",233,233,885,308
"2 punti segnato","Jason Burnell","Miro Bilan","made",245,245,705,392
"2 punti segnato","","Semaj Christon","made",279,279,735,308
"3 punti sbagliato","","Jason Burnell","missed",303,303,1455,308
"2 punti segnato","","Jason Burnell","made",328,328,645,252
"2 punti segnato","Miro Bilan","Nicola Akele","made",355,355,660,196
"2 punti segnato","Miro Bilan","Nicola Akele","made",390,390,690,196
"3 punti sbagliato","","Amedeo Della Valle","missed",423,423,450,812
"2 punti sbagliato","","Miro Bilan","missed",423,423,825,196
"2 punti sbagliato","","Miro Bilan","missed",431,431,855,280
"2 punti segnato","","Nicola Akele","made",431,431,855,280
"2 punti segnato","Miro Bilan","Amedeo Della Valle","made",449,449,1245,476
"2 punti sbagliato","","Miro Bilan","missed",481,481,585,252
"2 punti segnato","","Nicola Akele","made",484,484,855,196
"3 punti sbagliato","","C.J. Massinburg","missed",516,516,45,112
"2 punti sbagliato","","Miro Bilan","missed",560,560,915,252
"2 punti sbagliato","","David Reginald Cournooh","missed",25,625,1035,532
"2 punti sbagliato","","David Reginald Cournooh","missed",63,663,555,140
"2 punti segnato","John Petrucelli","Michael Cobbins","made",90,690,750,140
"2 punti sbagliato","","Nicola Akele","missed",104,704,825,420
"2 punti segnato","Michael Cobbins","John Petrucelli","made",139,739,735,168
"2 punti sbagliato","","Kenny Gabriel","missed",169,769,870,308
"2 punti segnato","","Kenny Gabriel","made",225,825,1050,252
"2 punti segnato","","Kenny Gabriel","made",239,839,735,168
"2 punti segnato","John Petrucelli","C.J. Massinburg","made",270,870,855,364
"2 punti segnato","","David Reginald Cournooh","made",298,898,690,112
"2 punti segnato","","C.J. Massinburg","made",343,943,660,280
"3 punti sbagliato","","Kenny Gabriel","missed",379,979,1185,812
"2 punti sbagliato","","Amedeo Della Valle","missed",389,989,1065,532
"2 punti segnato","","Michael Cobbins","made",389,989,1065,532
"2 punti segnato","Kenny Gabriel","C.J. Massinburg","made",462,1062,645,280
"2 punti segnato","","Semaj Christon","made",500,1100,420,112
"2 punti segnato","","Amedeo Della Valle","made",549,1149,825,196
