,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
17468,2 punti sbagliato,,Quinn Ellis,missed,488,2288,765.0,168.0,0
17469,3 punti segnato,Rayjon Tucker,Marco Spissu,made,495,2295,60.0,224.0,5
17470,2 punti segnato,,Alex O'Connell,made,520,2320,750.0,140.0,0
17471,2 punti sbagliato,,Toto Forray,missed,534,2334,660.0,364.0,0
17472,3 punti sbagliato,,Alex O'Connell,missed,553,2353,1425.0,364.0,8
17473,3 punti sbagliato,,Giga Janelidze,missed,565,2365,1125.0,784.0,7
17474,3 punti sbagliato,,Kamar Baldwin,missed,574,2374,1155.0,784.0,7
17475,2 punti segnato,Alex O'Connell,Davide Casarin,made,577,2377,675.0,196.0,0
17476,3 punti sbagliato,,Davide Casarin,missed,596,2396,1260.0,700.0,7
17477,2 punti segnato,,Jordan Bayehe,made,11,11,690.0,532.0,2
17478,2 punti sbagliato,,Trevon Bluiett,missed,29,29,375.0,448.0,2
17479,2 punti segnato,Jamel Morris,Jordan Bayehe,made,44,44,555.0,616.0,2
17480,3 punti segnato,Trevon Bluiett,Quincy Ford,made,103,103,1290.0,728.0,7
17481,2 punti sbagliato,,Jamel Morris,missed,107,107,240.0,252.0,1
17482,3 punti segnato,Scott Bamforth,Quincy Ford,made,118,118,765.0,868.0,7
17483,3 punti segnato,Trevon Bluiett,Quincy Ford,made,141,141,405.0,840.0,6
17484,3 punti sbagliato,,Xavier Sneed,missed,155,155,1350.0,616.0,7
17485,2 punti segnato,,Jordan Bayehe,made,161,161,720.0,308.0,0
17486,3 punti sbagliato,,Scott Bamforth,missed,171,171,750.0,952.0,6
17487,2 punti segnato,,Jeremy Senglin,made,226,226,885.0,420.0,3
17488,2 punti segnato,,Xavier Sneed,made,256,256,540.0,336.0,2
17489,3 punti sbagliato,,Scott Bamforth,missed,267,267,1140.0,840.0,7
17490,3 punti sbagliato,,Jamel Morris,missed,276,276,930.0,924.0,7
17491,3 punti sbagliato,,Andrea Cinciarini,missed,292,292,75.0,476.0,5
17492,2 punti segnato,,Markis Mcduffie,made,298,298,705.0,672.0,2
17493,2 punti sbagliato,,Jordan Bayehe,missed,308,308,645.0,280.0,0
17494,3 punti segnato,,Jeremy Senglin,made,370,370,345.0,868.0,6
17495,2 punti sbagliato,,Riccardo Visconti,missed,379,379,420.0,364.0,2
17496,2 punti segnato,,Markis Mcduffie,made,379,379,765.0,336.0,0
17497,3 punti segnato,,Trevon Bluiett,made,403,403,330.0,784.0,6
17498,2 punti segnato,,Nate Laszewski,made,462,462,360.0,392.0,2
17499,2 punti segnato,,Markis Mcduffie,made,480,480,360.0,196.0,1
17500,2 punti sbagliato,,Matteo Tambone,missed,506,506,990.0,392.0,3
17501,2 punti segnato,,Frank Bartley,made,516,516,885.0,336.0,0
17502,3 punti sbagliato,,Riccardo Visconti,missed,533,533,1350.0,616.0,7
17503,2 punti sbagliato,,Tommaso Laquintana,missed,549,549,855.0,364.0,0
17504,2 punti sbagliato,,Markis Mcduffie,missed,555,555,360.0,140.0,1
17505,2 punti sbagliato,,Frank Bartley,missed,575,575,1125.0,308.0,4
17506,2 punti segnato,Riccardo Visconti,Leonardo Totè,made,582,582,585.0,364.0,2
17507,2 punti segnato,,Tommaso Laquintana,made,596,596,855.0,252.0,0
17508,2 punti segnato,,Frank Bartley,made,31,631,735.0,644.0,2
17509,2 punti sbagliato,,Scott Bamforth,missed,52,652,1035.0,588.0,3
17510,2 punti sbagliato,,Markis Mcduffie,missed,52,652,1035.0,588.0,3
17511,2 punti sbagliato,,Eric Lombardi,missed,68,668,675.0,420.0,2
17512,2 punti segnato,,Leonardo Totè,made,72,672,900.0,336.0,0
17513,2 punti segnato,,Xavier Sneed,made,85,685,1305.0,336.0,4
17514,3 punti sbagliato,,Scott Bamforth,missed,110,710,1185.0,812.0,7
17515,3 punti sbagliato,,Frank Bartley,missed,129,729,1125.0,840.0,7
17516,2 punti segnato,Tommaso Laquintana,Eric Lombardi,made,142,742,945.0,280.0,0
17517,2 punti segnato,,Tommaso Laquintana,made,168,768,1050.0,364.0,3
